en000000	Hello, thank you for calling. How may I help you today?
en000001	Please hold for a moment while I transfer your call.
en000002	I'm sorry, the line is busy. Could you please try again later?
en000003	Your appointment is confirmed for next Monday at ten a.m.
en000004	May I have your order number and email address, please?
en000005	Thank you for your patience. Have a wonderful day.
en000006	The meeting has been rescheduled to three p.m. this afternoon.
en000007	Could you please spell your last name for me?
en000008	Our office hours are from nine to six, Monday to Friday.
en000009	Please leave a message after the tone and we will call you back.
en000010	Your package has been shipped and will arrive tomorrow.
en000011	I will connect you to the technical support team now.
en000012	Welcome to our customer service center, this is Amy speaking.
en000013	Can you confirm your phone number, please?
en000014	The product is currently out of stock, sorry for the inconvenience.
en000015	Hello, thank you for calling. How may I help you today?
en000016	Please hold for a moment while I transfer your call.
en000017	I'm sorry, the line is busy. Could you please try again later?
en000018	Your appointment is confirmed for next Monday at ten a.m.
en000019	May I have your order number and email address, please?
en000020	Thank you for your patience. Have a wonderful day.
en000021	The meeting has been rescheduled to three p.m. this afternoon.
en000022	Could you please spell your last name for me?
en000023	Our office hours are from nine to six, Monday to Friday.
en000024	Please leave a message after the tone and we will call you back.
en000025	Your package has been shipped and will arrive tomorrow.
en000026	I will connect you to the technical support team now.
en000027	Welcome to our customer service center, this is Amy speaking.
en000028	Can you confirm your phone number, please?
en000029	The product is currently out of stock, sorry for the inconvenience.
en000030	Hello, thank you for calling. How may I help you today?
en000031	Please hold for a moment while I transfer your call.
en000032	I'm sorry, the line is busy. Could you please try again later?
en000033	Your appointment is confirmed for next Monday at ten a.m.
en000034	May I have your order number and email address, please?
en000035	Thank you for your patience. Have a wonderful day.
en000036	The meeting has been rescheduled to three p.m. this afternoon.
en000037	Could you please spell your last name for me?
en000038	Our office hours are from nine to six, Monday to Friday.
en000039	Please leave a message after the tone and we will call you back.
en000040	Your package has been shipped and will arrive tomorrow.
en000041	I will connect you to the technical support team now.
en000042	Welcome to our customer service center, this is Amy speaking.
en000043	Can you confirm your phone number, please?
en000044	The product is currently out of stock, sorry for the inconvenience.
en000045	Hello, thank you for calling. How may I help you today?
en000046	Please hold for a moment while I transfer your call.
en000047	I'm sorry, the line is busy. Could you please try again later?
en000048	Your appointment is confirmed for next Monday at ten a.m.
en000049	May I have your order number and email address, please?
en000050	Thank you for your patience. Have a wonderful day.
en000051	The meeting has been rescheduled to three p.m. this afternoon.
en000052	Could you please spell your last name for me?
en000053	Our office hours are from nine to six, Monday to Friday.
en000054	Please leave a message after the tone and we will call you back.
en000055	Your package has been shipped and will arrive tomorrow.
en000056	I will connect you to the technical support team now.
en000057	Welcome to our customer service center, this is Amy speaking.
en000058	Can you confirm your phone number, please?
en000059	The product is currently out of stock, sorry for the inconvenience.
en000060	Hello, thank you for calling. How may I help you today?
en000061	Please hold for a moment while I transfer your call.
en000062	I'm sorry, the line is busy. Could you please try again later?
en000063	Your appointment is confirmed for next Monday at ten a.m.
en000064	May I have your order number and email address, please?
en000065	Thank you for your patience. Have a wonderful day.
en000066	The meeting has been rescheduled to three p.m. this afternoon.
en000067	Could you please spell your last name for me?
en000068	Our office hours are from nine to six, Monday to Friday.
en000069	Please leave a message after the tone and we will call you back.
en000070	Your package has been shipped and will arrive tomorrow.
en000071	I will connect you to the technical support team now.
en000072	Welcome to our customer service center, this is Amy speaking.
en000073	Can you confirm your phone number, please?
en000074	The product is currently out of stock, sorry for the inconvenience.
en000075	Hello, thank you for calling. How may I help you today?
en000076	Please hold for a moment while I transfer your call.
en000077	I'm sorry, the line is busy. Could you please try again later?
en000078	Your appointment is confirmed for next Monday at ten a.m.
en000079	May I have your order number and email address, please?
en000080	Thank you for your patience. Have a wonderful day.
en000081	The meeting has been rescheduled to three p.m. this afternoon.
en000082	Could you please spell your last name for me?
en000083	Our office hours are from nine to six, Monday to Friday.
en000084	Please leave a message after the tone and we will call you back.
en000085	Your package has been shipped and will arrive tomorrow.
en000086	I will connect you to the technical support team now.
en000087	Welcome to our customer service center, this is Amy speaking.
en000088	Can you confirm your phone number, please?
en000089	The product is currently out of stock, sorry for the inconvenience.
en000090	Hello, thank you for calling. How may I help you today?
en000091	Please hold for a moment while I transfer your call.
en000092	I'm sorry, the line is busy. Could you please try again later?
en000093	Your appointment is confirmed for next Monday at ten a.m.
en000094	May I have your order number and email address, please?
en000095	Thank you for your patience. Have a wonderful day.
en000096	The meeting has been rescheduled to three p.m. this afternoon.
en000097	Could you please spell your last name for me?
en000098	Our office hours are from nine to six, Monday to Friday.
en000099	Please leave a message after the tone and we will call you back.
en000100	Your package has been shipped and will arrive tomorrow.
en000101	I will connect you to the technical support team now.
en000102	Welcome to our customer service center, this is Amy speaking.
en000103	Can you confirm your phone number, please?
en000104	The product is currently out of stock, sorry for the inconvenience.
en000105	Hello, thank you for calling. How may I help you today?
en000106	Please hold for a moment while I transfer your call.
en000107	I'm sorry, the line is busy. Could you please try again later?
en000108	Your appointment is confirmed for next Monday at ten a.m.
en000109	May I have your order number and email address, please?
en000110	Thank you for your patience. Have a wonderful day.
en000111	The meeting has been rescheduled to three p.m. this afternoon.
en000112	Could you please spell your last name for me?
en000113	Our office hours are from nine to six, Monday to Friday.
en000114	Please leave a message after the tone and we will call you back.
en000115	Your package has been shipped and will arrive tomorrow.
en000116	I will connect you to the technical support team now.
en000117	Welcome to our customer service center, this is Amy speaking.
en000118	Can you confirm your phone number, please?
en000119	The product is currently out of stock, sorry for the inconvenience.
enmix000120	Sorry, Amy is in a meeting, 需要留言嗎?
enmix000121	Sorry, Amy is in a meeting, 需要留言嗎?
enmix000122	Sorry, Tony is in a meeting, 需要留言嗎?
enmix000123	The AI assistant system is now online, 歡迎使用。
enmix000124	Vivian said the iPhone is ready, 請您稍等一下。
enmix000125	I will transfer you to Vivian, 他的分機是 213。
enmix000126	Your iPhone account has been updated, 請查收 email。
enmix000127	Please check your online banking, 謝謝您的配合。
enmix000128	I will transfer you to David, 他的分機是 456。
enmix000129	Your AI assistant account has been updated, 請查收 email。
enmix000130	Amy said the AI assistant is ready, 請您稍等一下。
enmix000131	I will transfer you to Tony, 他的分機是 399。
enmix000132	Your HDMI account has been updated, 請查收 email。
enmix000133	Your email account has been updated, 請查收 email。
enmix000134	The Zoom system is now online, 歡迎使用。
enmix000135	Sorry, Amy is in a meeting, 需要留言嗎?
enmix000136	Sorry, Grace is in a meeting, 需要留言嗎?
enmix000137	Sorry, Vivian is in a meeting, 需要留言嗎?
enmix000138	The Teams system is now online, 歡迎使用。
enmix000139	Tony said the Windows is ready, 請您稍等一下。
enmix000140	Please check your VPN, 謝謝您的配合。
enmix000141	Your AI assistant account has been updated, 請查收 email。
enmix000142	The AI assistant system is now online, 歡迎使用。
enmix000143	Please check your HDMI, 謝謝您的配合。
enmix000144	The online banking system is now online, 歡迎使用。
enmix000145	I will transfer you to Grace, 他的分機是 658。
enmix000146	I will transfer you to Tony, 他的分機是 785。
enmix000147	Your online banking account has been updated, 請查收 email。
enmix000148	Please check your Teams, 謝謝您的配合。
enmix000149	Michael said the email is ready, 請您稍等一下。
enmix000150	The online banking system is now online, 歡迎使用。
enmix000151	Please check your iPhone, 謝謝您的配合。
enmix000152	The AI assistant system is now online, 歡迎使用。
enmix000153	The iPhone system is now online, 歡迎使用。
enmix000154	I will transfer you to Tony, 他的分機是 134。
enmix000155	Linda said the iPhone is ready, 請您稍等一下。
enmix000156	Sorry, Grace is in a meeting, 需要留言嗎?
enmix000157	The iPhone system is now online, 歡迎使用。
enmix000158	I will transfer you to Grace, 他的分機是 764。
enmix000159	Please check your Zoom, 謝謝您的配合。
enmix000160	David said the HDMI is ready, 請您稍等一下。
enmix000161	Sorry, Amy is in a meeting, 需要留言嗎?
enmix000162	Please check your USB, 謝謝您的配合。
enmix000163	Sarah said the USB is ready, 請您稍等一下。
enmix000164	Your email account has been updated, 請查收 email。
enmix000165	I will transfer you to Linda, 他的分機是 105。
enmix000166	The server system is now online, 歡迎使用。
enmix000167	The Windows system is now online, 歡迎使用。
enmix000168	Your HDMI account has been updated, 請查收 email。
enmix000169	The email system is now online, 歡迎使用。
enmix000170	Sorry, Jason is in a meeting, 需要留言嗎?
enmix000171	The Windows system is now online, 歡迎使用。
enmix000172	Please check your Windows, 謝謝您的配合。
enmix000173	The Wi-Fi system is now online, 歡迎使用。
enmix000174	I will transfer you to Amy, 他的分機是 953。
enmix000175	Sorry, Linda is in a meeting, 需要留言嗎?
enmix000176	I will transfer you to Grace, 他的分機是 799。
enmix000177	The Zoom system is now online, 歡迎使用。
enmix000178	Please check your server, 謝謝您的配合。
enmix000179	Please check your server, 謝謝您的配合。
enmix000180	The server system is now online, 歡迎使用。
enmix000181	Your VPN account has been updated, 請查收 email。
enmix000182	Amy said the Windows is ready, 請您稍等一下。
enmix000183	Sarah said the online banking is ready, 請您稍等一下。
enmix000184	Your Wi-Fi account has been updated, 請查收 email。
enmix000185	Your iPhone account has been updated, 請查收 email。
enmix000186	Sorry, Kevin is in a meeting, 需要留言嗎?
enmix000187	Please check your Windows, 謝謝您的配合。
enmix000188	The Teams system is now online, 歡迎使用。
enmix000189	Tony said the Teams is ready, 請您稍等一下。
enmix000190	I will transfer you to David, 他的分機是 291。
enmix000191	The email system is now online, 歡迎使用。
enmix000192	Please check your email, 謝謝您的配合。
enmix000193	The Windows system is now online, 歡迎使用。
enmix000194	Sorry, Amy is in a meeting, 需要留言嗎?
enmix000195	Please check your USB, 謝謝您的配合。
enmix000196	The Wi-Fi system is now online, 歡迎使用。
enmix000197	Your Teams account has been updated, 請查收 email。
enmix000198	Please check your Wi-Fi, 謝謝您的配合。
enmix000199	Sorry, Linda is in a meeting, 需要留言嗎?
enmix000200	Sorry, Tony is in a meeting, 需要留言嗎?
enmix000201	Sorry, Michael is in a meeting, 需要留言嗎?
enmix000202	Sorry, Sarah is in a meeting, 需要留言嗎?
enmix000203	Please check your online banking, 謝謝您的配合。
enmix000204	The email system is now online, 歡迎使用。
enmix000205	Jason said the USB is ready, 請您稍等一下。
enmix000206	Please check your AI assistant, 謝謝您的配合。
enmix000207	I will transfer you to Amy, 他的分機是 421。
enmix000208	I will transfer you to Vivian, 他的分機是 398。
enmix000209	Jason said the email is ready, 請您稍等一下。
enmix000210	I will transfer you to Kevin, 他的分機是 987。
enmix000211	David said the Wi-Fi is ready, 請您稍等一下。
enmix000212	Sarah said the Wi-Fi is ready, 請您稍等一下。
enmix000213	Sorry, Amy is in a meeting, 需要留言嗎?
enmix000214	The Zoom system is now online, 歡迎使用。
enmix000215	Your online banking account has been updated, 請查收 email。
enmix000216	I will transfer you to Vivian, 他的分機是 513。
enmix000217	The VPN system is now online, 歡迎使用。
enmix000218	David said the online banking is ready, 請您稍等一下。
enmix000219	I will transfer you to Linda, 他的分機是 797。
enmix000220	I will transfer you to David, 他的分機是 936。
enmix000221	The AI assistant system is now online, 歡迎使用。
enmix000222	I will transfer you to Kevin, 他的分機是 811。
enmix000223	Michael said the AI assistant is ready, 請您稍等一下。
enmix000224	Sorry, Michael is in a meeting, 需要留言嗎?
enmix000225	Please check your Windows, 謝謝您的配合。
enmix000226	Tony said the Wi-Fi is ready, 請您稍等一下。
enmix000227	Jason said the server is ready, 請您稍等一下。
enmix000228	I will transfer you to Kevin, 他的分機是 635。
enmix000229	I will transfer you to Vivian, 他的分機是 771。
enmix000230	Please check your Teams, 謝謝您的配合。
enmix000231	The Teams system is now online, 歡迎使用。
enmix000232	Please check your Teams, 謝謝您的配合。
enmix000233	Jason said the HDMI is ready, 請您稍等一下。
enmix000234	The online banking system is now online, 歡迎使用。
enmix000235	Michael said the HDMI is ready, 請您稍等一下。
enmix000236	The email system is now online, 歡迎使用。
enmix000237	Please check your email, 謝謝您的配合。
enmix000238	Please check your USB, 謝謝您的配合。
enmix000239	Sorry, Tony is in a meeting, 需要留言嗎?
